dataset,method,query_id,ndcg@10,mrr@10,recall@100
scifact,all_minilm_l6,516,1.0,1.0,1.0
scifact,all_minilm_l6,517,0.0,0.0,1.0
scifact,all_minilm_l6,521,1.0,1.0,1.0
scifact,all_minilm_l6,525,1.0,1.0,1.0
scifact,all_minilm_l6,527,0.0,0.0,1.0
scifact,all_minilm_l6,528,1.0,1.0,1.0
scifact,all_minilm_l6,53,1.0,1.0,1.0
scifact,all_minilm_l6,532,1.0,1.0,1.0
scifact,all_minilm_l6,533,1.0,1.0,1.0
scifact,all_minilm_l6,535,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,536,1.0,1.0,1.0
scifact,all_minilm_l6,539,1.0,1.0,1.0
scifact,all_minilm_l6,54,1.0,1.0,1.0
scifact,all_minilm_l6,540,0.2640681225725909,0.25,1.0
scifact,all_minilm_l6,544,0.0,0.0,1.0
scifact,all_minilm_l6,549,1.0,1.0,1.0
scifact,all_minilm_l6,551,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,552,1.0,1.0,1.0
scifact,all_minilm_l6,554,0.0,0.0,1.0
scifact,all_minilm_l6,56,1.0,1.0,1.0
scifact,all_minilm_l6,560,0.0,0.0,1.0
scifact,all_minilm_l6,569,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,57,1.0,1.0,1.0
scifact,all_minilm_l6,575,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,577,0.31546487678572877,0.125,1.0
scifact,all_minilm_l6,578,1.0,1.0,1.0
scifact,all_minilm_l6,587,0.0,0.0,1.0
scifact,all_minilm_l6,589,1.0,1.0,1.0
scifact,all_minilm_l6,593,1.0,1.0,1.0
scifact,all_minilm_l6,597,0.7928654229965442,1.0,1.0
scifact,all_minilm_l6,598,0.3333333333333333,0.14285714285714285,1.0
scifact,all_minilm_l6,613,1.0,1.0,1.0
scifact,all_minilm_l6,619,0.0,0.0,0.5
scifact,all_minilm_l6,623,0.0,0.0,1.0
scifact,all_minilm_l6,628,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,636,1.0,1.0,1.0
scifact,all_minilm_l6,637,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,641,0.8315546295836225,1.0,1.0
scifact,all_minilm_l6,644,0.0,0.0,1.0
scifact,all_minilm_l6,649,1.0,1.0,1.0
scifact,all_minilm_l6,659,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,660,0.0,0.0,0.0
scifact,all_minilm_l6,674,0.3333333333333333,0.14285714285714285,1.0
scifact,all_minilm_l6,684,1.0,1.0,1.0
